datetime,TXFC2,TXFD1,TXFE1,TXFL1,cash,commission,total,returns,equity_curve,drawdown
2020-03-23 00:00:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,,,
2020-12-17 08:46:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:47:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:48:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:49:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:50:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:51:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:52:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:53:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:54:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:55:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:56:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:57:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:58:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 08:59:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:00:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:01:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:02:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:03:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:04:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:05:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:06:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:07:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:08:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:09:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:10:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:11:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:12:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:13:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:14:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:15:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:16:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:17:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:18:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:19:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:20:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:21:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:22:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:23:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:24:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:25:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:26:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:27:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:28:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:29:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:30:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:31:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:32:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:33:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:34:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:35:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:36:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:37:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:38:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:39:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:40:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:41:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:42:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:43:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:44:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:45:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:46:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:47:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:48:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:49:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:50:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:51:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
2020-12-17 09:52:00,0.0,0.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,1.0,0.0
